魬,3 4 4 ,3 4 4 ,3 1 3 2 ,2 2 2 1 ,0.4140625 0.39453125 0.31640625 0.42578125 
鲡,4 8 5 ,4 8 5 ,3 2 2 4 ,2 3 2 1 ,0.41796875 0.390625 0.25 0.4921875 
敕,2 5 4 ,2 5 4 ,1 1 3 1 ,1 1 1 1 ,0.3359375 0.29296875 0.1875 0.40625 
乲,3 3 2 ,3 3 2 ,1 2 1 2 ,1 3 2 2 ,0.234375 0.41796875 0.3515625 0.4765625 
餻,4 2 5 ,4 2 5 ,3 1 2 3 ,4 4 2 2 ,0.29296875 0.42578125 0.47265625 0.48828125 
踶,4 3 4 ,4 3 4 ,3 2 3 2 ,2 1 4 3 ,0.41015625 0.53515625 0.5078125 0.3125 
轆,4 4 4 ,4 4 4 ,2 3 2 2 ,3 2 3 1 ,0.42578125 0.44140625 0.37109375 0.54296875 
賲,3 1 2 ,3 1 2 ,2 1 1 1 ,2 5 5 5 ,0.3984375 0.4296875 0.41015625 0.4765625 
鈉,5 4 6 ,5 4 6 ,3 3 4 3 ,3 2 2 2 ,0.39453125 0.49609375 0.35546875 0.47265625 
資,4 2 2 ,4 2 2 ,2 2 1 1 ,3 4 3 4 ,0.2421875 0.41015625 0.453125 0.4296875 
敊,2 3 4 ,2 3 4 ,1 1 3 1 ,2 1 1 1 ,0.17578125 0.39453125 0.3984375 0.38671875 
觷,3 3 3 ,3 3 3 ,2 2 2 2 ,5 4 5 5 ,0.37109375 0.40625 0.4609375 0.46875 
籅,4 3 1 ,4 3 1 ,3 1 1 1 ,4 4 3 4 ,0.375 0.4140625 0.3515625 0.44921875 
滩,3 3 5 ,3 3 5 ,1 2 3 2 ,2 1 3 2 ,0.2421875 0.4375 0.421875 0.4296875 
帐,5 5 5 ,5 5 5 ,4 2 4 2 ,1 1 2 1 ,0.48828125 0.34765625 0.3125 0.33203125 
腛,4 5 4 ,4 5 4 ,3 1 3 1 ,2 2 3 2 ,0.42578125 0.44140625 0.59765625 0.4453125 
胶,2 6 3 ,2 6 3 ,2 0 2 1 ,2 2 2 1 ,0.375 0.35546875 0.31640625 0.3984375 
幌,4 6 5 ,4 6 5 ,4 1 3 2 ,1 1 3 1 ,0.4453125 0.30859375 0.47265625 0.5 
崿,5 3 3 ,5 3 3 ,4 2 3 1 ,0 1 2 3 ,0.328125 0.328125 0.57421875 0.3515625 
淅,2 5 5 ,2 5 5 ,1 2 3 2 ,1 1 2 0 ,0.22265625 0.328125 0.30859375 0.25 
謃,1 3 3 ,1 3 3 ,1 1 3 1 ,3 3 3 3 ,0.43359375 0.39453125 0.41796875 0.41796875 
龀,4 4 4 ,4 4 4 ,2 2 2 2 ,2 2 1 2 ,0.1875 0.46484375 0.078125 0.46875 
恥,3 5 4 ,3 5 4 ,2 1 2 2 ,2 2 1 1 ,0.37890625 0.34765625 0.0390625 0.3359375 
涑,1 3 4 ,1 3 4 ,0 1 2 3 ,0 1 2 2 ,0.26953125 0.359375 0.25 0.359375 
岁,1 1 2 ,1 1 2 ,1 1 1 2 ,2 2 2 2 ,0.31640625 0.2109375 0.296875 0.00390625 
茂,4 2 3 ,4 2 3 ,2 3 1 2 ,2 1 3 2 ,0.3125 0.34375 0.3671875 0.51953125 
鴔,2 2 6 ,2 2 6 ,1 1 2 5 ,3 2 4 4 ,0.35546875 0.48046875 0.3515625 0.55078125 
頁,2 2 1 ,2 2 1 ,1 1 1 1 ,3 3 3 3 ,0.39453125 0.4375 0.4453125 0.47265625 
仩,2 3 2 ,2 3 2 ,1 1 1 1 ,1 0 1 1 ,0.0859375 0.375 0.0 0.3125 
嵭,5 4 5 ,5 4 5 ,3 2 3 2 ,0 1 2 3 ,0.28125 0.3046875 0.265625 0.4140625 
鬼,3 3 5 ,3 3 5 ,2 2 2 4 ,2 2 2 4 ,0.2734375 0.33203125 0.25390625 0.57421875 
菊,1 4 4 ,1 4 4 ,1 0 2 2 ,4 3 2 2 ,0.3359375 0.25 0.3125 0.43359375 
短,3 3 4 ,3 3 4 ,3 1 2 2 ,2 2 2 2 ,0.47265625 0.35546875 0.25 0.46484375 
另,2 1 2 ,2 1 2 ,1 1 1 1 ,2 2 2 2 ,0.39453125 0.30859375 0.53125 0.515625 
礶,3 4 4 ,3 4 4 ,2 2 3 1 ,2 1 2 1 ,0.37109375 0.28515625 0.51171875 0.39453125 
敾,2 5 2 ,2 5 2 ,1 1 1 2 ,1 3 2 1 ,0.41796875 0.43359375 0.19140625 0.40234375 
嵱,7 5 5 ,7 5 5 ,4 3 4 2 ,0 1 2 3 ,0.265625 0.31640625 0.3515625 0.453125 
毒,1 1 3 ,1 1 3 ,1 1 2 2 ,4 3 4 4 ,0.34375 0.24609375 0.375 0.4765625 
拒,2 3 2 ,2 3 2 ,2 0 2 0 ,2 1 2 2 ,0.48046875 0.49609375 0.375 0.375 
曝,4 4 7 ,4 4 7 ,3 1 4 4 ,1 1 4 2 ,0.62890625 0.46484375 0.4765625 0.34765625 
务,3 3 2 ,3 3 2 ,2 1 1 1 ,2 2 2 2 ,0.1640625 0.28515625 0.2578125 0.2578125 
麊,3 3 4 ,3 3 4 ,2 2 2 2 ,4 2 4 4 ,0.21484375 0.3359375 0.2890625 0.55859375 
鈔,5 4 4 ,5 4 4 ,3 3 3 1 ,2 1 0 1 ,0.3125 0.3671875 0.09765625 0.0390625 
魜,3 2 3 ,3 2 3 ,2 1 1 2 ,2 1 2 1 ,0.41015625 0.4140625 0.05859375 0.3203125 
緸,3 3 4 ,3 3 4 ,3 1 4 1 ,2 2 1 3 ,0.296875 0.5234375 0.421875 0.3515625 
咆,4 5 3 ,4 5 3 ,3 1 2 1 ,1 1 1 2 ,0.37890625 0.36328125 0.2578125 0.484375 
馞,2 3 2 ,2 3 2 ,1 1 1 1 ,1 3 2 2 ,0.47265625 0.49609375 0.28515625 0.09375 
纵,4 3 3 ,4 3 3 ,3 1 1 2 ,2 3 1 1 ,0.3125 0.3046875 0.234375 0.3359375 
驸,4 4 4 ,4 4 4 ,3 2 3 2 ,2 3 1 1 ,0.28125 0.25 0.4140625 0.4140625 
耼,3 3 3 ,3 3 3 ,1 2 1 2 ,3 2 2 2 ,0.5390625 0.34375 0.46875 0.4375 
韾,2 2 1 ,2 2 1 ,1 2 1 1 ,5 5 4 5 ,0.375 0.25 0.3671875 0.33984375 
蹃,4 3 5 ,4 3 5 ,2 2 3 2 ,2 1 2 2 ,0.34765625 0.51953125 0.484375 0.39453125 
晉,4 0 1 ,4 0 1 ,2 2 1 1 ,3 3 4 3 ,0.40234375 0.3671875 0.3515625 0.39453125 
胊,4 5 4 ,4 5 4 ,3 2 3 2 ,2 2 2 2 ,0.421875 0.40625 0.3359375 0.46484375 
甄,5 5 4 ,5 5 4 ,4 2 1 3 ,3 1 2 2 ,0.6796875 0.375 0.3515625 0.5234375 
